rank_position,content_id,baseline_score,reason_code,action_label,content_age_days,impressions_prev_30d,impressions_last_30d
12780,content_bd43ec1f23cd,0.0,FRESH_OR_GROWING,NO_ACTION,118,125,84
12781,content_bf77f5dbe703,0.0,FRESH_OR_GROWING,NO_ACTION,230,2714,3462
12782,content_9b39f45a8883,0.0,FRESH_OR_GROWING,NO_ACTION,482,145,200
12783,content_c11409a6bae9,0.0,FRESH_OR_GROWING,NO_ACTION,174,985,193
12784,content_ce3ea992ab0f,0.0,FRESH_OR_GROWING,NO_ACTION,105,0,18
12785,content_43921eb4e371,0.0,FRESH_OR_GROWING,NO_ACTION,313,0,1
12786,content_e88da0554105,0.0,FRESH_OR_GROWING,NO_ACTION,141,8735,8089
12787,content_841565486bc6,0.0,FRESH_OR_GROWING,NO_ACTION,419,81,92
12788,content_446f8c66d9f5,0.0,FRESH_OR_GROWING,NO_ACTION,102,15,32
12789,content_59e7cefd8c48,0.0,FRESH_OR_GROWING,NO_ACTION,92,3490,890
12790,content_de7e7c07df81,0.0,FRESH_OR_GROWING,NO_ACTION,348,515,557
12791,content_47f14fc1ca93,0.0,FRESH_OR_GROWING,NO_ACTION,211,29853,33214
12792,content_60b83f4c4dbd,0.0,FRESH_OR_GROWING,NO_ACTION,358,5,10
12793,content_84d2c62f16c9,0.0,FRESH_OR_GROWING,NO_ACTION,299,24,38
12794,content_2487157b909a,0.0,FRESH_OR_GROWING,NO_ACTION,438,21,37
12795,content_cd656a38cd66,0.0,FRESH_OR_GROWING,NO_ACTION,375,2,3
12796,content_b8071fd67506,0.0,FRESH_OR_GROWING,NO_ACTION,92,2443,3218
12797,content_6b3ebd474702,0.0,FRESH_OR_GROWING,NO_ACTION,126,0,0
12798,content_3226dfeade69,0.0,FRESH_OR_GROWING,NO_ACTION,280,0,18
12799,content_e632a49ea0af,0.0,FRESH_OR_GROWING,NO_ACTION,482,51,76
12800,content_58ccfd6cfea3,0.0,FRESH_OR_GROWING,NO_ACTION,97,31,92
12801,content_6894890e364d,0.0,FRESH_OR_GROWING,NO_ACTION,141,1293,492
12802,content_24a47cc25f17,0.0,FRESH_OR_GROWING,NO_ACTION,128,0,3
12803,content_184e5a125c60,0.0,FRESH_OR_GROWING,NO_ACTION,288,3,7
12804,content_ee6c6b09c17d,0.0,FRESH_OR_GROWING,NO_ACTION,104,195,139
12805,content_a85a3024c4f4,0.0,FRESH_OR_GROWING,NO_ACTION,174,6,5
12806,content_803be824e6b4,0.0,FRESH_OR_GROWING,NO_ACTION,126,18,14
12807,content_2aef839025fd,0.0,FRESH_OR_GROWING,NO_ACTION,90,454,491
12808,content_cb93b1c3c673,0.0,FRESH_OR_GROWING,NO_ACTION,151,48,30
